iter	Passed	Remaining
0	2	206
1	3	170
2	4	157
3	5	142
4	7	140
5	8	136
6	10	135
7	11	132
8	13	132
9	14	130
10	15	128
11	17	126
12	18	124
13	19	122
14	21	121
15	22	119
16	24	118
17	25	116
18	26	114
19	28	113
20	29	112
21	31	110
22	32	109
23	33	107
24	35	105
25	36	104
26	37	102
27	39	101
28	40	99
29	41	97
30	43	96
31	44	94
32	45	93
33	47	91
34	48	90
35	49	88
36	51	87
37	52	85
38	53	84
39	55	82
40	56	81
41	57	78
42	58	77
43	59	75
44	60	74
45	62	73
46	63	71
47	64	70
48	66	68
49	67	67
50	68	66
51	70	64
52	71	63
53	72	61
54	73	60
55	74	58
56	76	57
57	77	56
58	78	54
59	80	53
60	81	51
61	82	50
62	84	49
63	86	48
64	87	47
65	88	45
66	90	44
67	91	43
68	93	41
69	94	40
70	96	39
71	98	38
72	99	36
73	101	35
74	102	34
75	104	32
76	105	31
77	107	30
78	109	29
79	111	27
80	112	26
81	114	25
82	116	23
83	117	22
84	119	21
85	121	19
86	123	18
87	125	17
88	127	15
89	129	14
90	130	12
91	132	11
92	134	10
93	135	8
94	137	7
95	138	5
96	139	4
97	141	2
98	143	1
99	144	0
