iter	Passed	Remaining
0	150	150431
1	152	76093
2	155	51580
3	158	39374
4	160	31885
5	162	26868
6	164	23296
7	167	20714
8	170	18730
9	172	17065
10	174	15672
11	176	14506
12	178	13516
13	180	12724
14	182	12000
15	184	11345
16	186	10761
17	187	10239
18	189	9772
19	190	9354
20	192	8984
21	195	8694
22	197	8381
23	198	8088
24	200	7819
25	202	7575
26	203	7345
27	205	7132
28	207	6960
29	210	6799
30	211	6621
31	213	6454
32	215	6326
33	217	6180
34	219	6041
35	221	5931
36	223	5813
37	225	5699
38	226	5587
39	228	5481
40	229	5379
41	231	5284
42	233	5194
43	236	5133
44	237	5048
45	239	4967
46	241	4887
47	243	4821
48	244	4749
49	246	4682
50	249	4641
51	251	4587
52	253	4531
53	255	4475
54	257	4423
55	259	4370
56	261	4319
57	263	4285
58	265	4233
59	266	4182
60	268	4132
61	270	4085
62	271	4039
63	273	3995
64	275	3965
65	278	3934
66	279	3894
67	281	3855
68	283	3820
69	284	3783
70	286	3746
71	287	3710
72	290	3687
73	292	3661
74	294	3628
75	295	3595
76	297	3564
77	298	3533
78	300	3503
79	302	3474
80	304	3457
81	306	3430
82	307	3394
83	308	3367
84	310	3341
85	311	3314
86	313	3289
87	314	3263
88	317	3250
89	319	3234
90	321	3211
91	323	3190
92	324	3168
93	326	3146
94	328	3125
95	329	3105
96	331	3090
97	334	3076
98	336	3059
99	338	3043
100	339	3024
101	341	3008
102	343	2990
103	345	2977
104	348	2966
105	349	2948
106	351	2932
107	352	2914
108	354	2897
109	355	2880
110	357	2863
111	360	2858
112	363	2850
113	365	2838
114	366	2824
115	368	2810
116	370	2794
117	371	2780
118	374	2774
119	377	2768
120	379	2756
121	381	2742
122	382	2729
123	384	2716
124	386	2703
125	401	2788
126	403	2773
127	406	2771
128	408	2760
129	410	2747
130	412	2735
131	413	2722
132	415	2710
133	417	2696
134	419	2690
135	421	2679
136	423	2666
137	424	2653
138	426	2640
139	427	2627
140	429	2615
141	430	2599
142	431	2588
143	433	2579
144	435	2569
145	437	2558
146	438	2545
147	440	2533
148	441	2520
149	443	2511
150	445	2502
151	447	2496
152	449	2488
153	451	2479
154	452	2468
155	454	2457
156	456	2448
157	457	2438
158	459	2431
159	464	2437
160	465	2425
161	466	2413
162	467	2402
163	469	2391
164	470	2381
165	471	2370
166	473	2360
167	475	2354
168	477	2349
169	479	2339
170	480	2329
171	482	2321
172	483	2313
173	485	2306
174	488	2302
175	490	2297
176	492	2289
177	494	2281
178	495	2273
179	496	2263
180	498	2255
181	499	2247
182	502	2243
183	504	2238
184	506	2232
185	508	2224
186	509	2215
187	510	2205
188	511	2195
189	512	2186
190	514	2178
191	516	2173
192	517	2165
193	519	2156
194	520	2148
195	521	2140
196	522	2131
197	524	2123
198	525	2115
199	526	2106
200	528	2099
201	530	2094
202	531	2087
203	533	2080
204	534	2073
205	535	2065
206	537	2058
207	539	2052
208	540	2045
209	542	2041
210	545	2038
211	546	2031
212	547	2024
213	549	2016
214	550	2009
215	551	2002
216	553	1995
217	554	1987
218	555	1981
219	557	1978
220	559	1972
221	561	1966
222	562	1959
223	563	1952
224	565	1946
225	566	1940
226	567	1933
227	570	1930
228	572	1927
229	574	1921
230	575	1915
231	576	1908
232	577	1902
233	579	1895
234	580	1890
235	581	1883
236	583	1879
237	586	1877
238	587	1871
239	589	1865
240	590	1858
241	591	1852
242	593	1847
243	594	1841
244	595	1835
245	597	1832
246	600	1829
247	601	1824
248	603	1819
249	604	1813
250	605	1808
251	607	1802
252	609	1798
253	613	1800
254	614	1796
255	616	1791
256	617	1785
257	618	1779
258	620	1774
259	621	1769
260	622	1763
261	624	1760
262	627	1758
263	628	1753
264	630	1748
265	631	1742
266	632	1736
267	633	1730
268	634	1724
269	635	1719
270	636	1713
271	638	1709
272	640	1705
273	641	1700
274	642	1694
275	643	1688
276	644	1683
277	645	1677
278	647	1672
279	648	1666
280	649	1661
281	650	1655
282	651	1650
283	653	1647
284	655	1645
285	656	1640
286	658	1634
287	659	1629
288	660	1624
289	661	1619
290	662	1613
291	663	1608
292	664	1603
293	666	1599
294	668	1597
295	669	1592
296	670	1587
297	671	1582
298	672	1577
299	674	1573
300	675	1568
301	676	1563
302	677	1558
303	678	1553
304	680	1550
305	682	1548
306	683	1543
307	684	1538
308	685	1533
309	687	1529
310	688	1524
311	689	1519
312	690	1514
313	691	1510
314	692	1505
315	694	1503
316	704	1517
317	705	1512
318	706	1507
319	707	1503
320	708	1499
321	711	1497
322	712	1493
323	713	1488
324	714	1483
325	715	1479
326	716	1475
327	717	1470
328	718	1466
329	719	1461
330	720	1457
331	722	1454
332	724	1451
333	726	1448
334	727	1443
335	728	1439
336	729	1435
337	730	1431
338	732	1427
339	733	1422
340	734	1418
341	735	1414
342	737	1412
343	739	1410
344	740	1405
345	741	1401
346	742	1397
347	743	1393
348	744	1389
349	746	1385
350	747	1381
351	748	1377
352	749	1373
353	751	1371
354	753	1368
355	754	1364
356	755	1360
357	756	1356
358	757	1353
359	758	1349
360	760	1345
361	761	1341
362	762	1337
363	763	1333
364	765	1331
365	766	1328
366	768	1324
367	769	1321
368	770	1317
369	771	1313
370	772	1310
371	773	1306
372	775	1302
373	776	1299
374	777	1296
375	780	1294
376	781	1291
377	782	1288
378	784	1284
379	785	1281
380	787	1279
381	789	1276
382	790	1273
383	793	1272
384	795	1270
385	796	1267
386	798	1264
387	799	1261
388	800	1257
389	802	1254
390	803	1251
391	805	1249
392	808	1248
393	809	1245
